Unnamed: 0,admin_name,Date,fews_ipc,country,timestamp
357,Lainya,09/1/2019,3,South Sudan,1567296000
358,Lainya,10/1/2019,4,South Sudan,1569888000
359,Lainya,11/1/2019,3,South Sudan,1572566400
360,Lainya,12/1/2019,3,South Sudan,1575158400
361,Lainya,01/1/2020,3,South Sudan,1577836800
362,Lainya,02/1/2020,3,South Sudan,1580515200
363,Maridi,06/1/2017,4,South Sudan,1496275200
364,Maridi,07/1/2017,2,South Sudan,1498867200
365,Maridi,08/1/2017,4,South Sudan,1501545600
366,Maridi,09/1/2017,3,South Sudan,1504224000
367,Maridi,10/1/2017,3,South Sudan,1506816000
368,Maridi,11/1/2017,3,South Sudan,1509494400
369,Maridi,12/1/2017,3,South Sudan,1512086400
370,Maridi,01/1/2018,4,South Sudan,1514764800
371,Maridi,02/1/2018,4,South Sudan,1517443200
372,Maridi,03/1/2018,4,South Sudan,1519862400
373,Maridi,04/1/2018,3,South Sudan,1522540800
374,Maridi,05/1/2018,3,South Sudan,1525132800
375,Maridi,06/1/2018,3,South Sudan,1527811200
376,Maridi,07/1/2018,3,South Sudan,1530403200
377,Maridi,08/1/2018,4,South Sudan,1533081600
378,Maridi,09/1/2018,2,South Sudan,1535760000
379,Maridi,10/1/2018,2,South Sudan,1538352000
380,Maridi,11/1/2018,3,South Sudan,1541030400
381,Maridi,12/1/2018,4,South Sudan,1543622400
382,Maridi,01/1/2019,4,South Sudan,1546300800
383,Maridi,02/1/2019,4,South Sudan,1548979200
384,Maridi,03/1/2019,4,South Sudan,1551398400
385,Maridi,04/1/2019,2,South Sudan,1554076800
386,Maridi,05/1/2019,3,South Sudan,1556668800
387,Maridi,06/1/2019,2,South Sudan,1559347200
388,Maridi,07/1/2019,2,South Sudan,1561939200
389,Maridi,08/1/2019,3,South Sudan,1564617600
390,Maridi,09/1/2019,4,South Sudan,1567296000
391,Maridi,10/1/2019,3,South Sudan,1569888000
392,Maridi,11/1/2019,3,South Sudan,1572566400
393,Maridi,12/1/2019,2,South Sudan,1575158400
394,Maridi,01/1/2020,2,South Sudan,1577836800
395,Maridi,02/1/2020,4,South Sudan,1580515200
396,Nzara,06/1/2017,4,South Sudan,1496275200
397,Nzara,07/1/2017,4,South Sudan,1498867200
398,Nzara,08/1/2017,4,South Sudan,1501545600
399,Nzara,09/1/2017,3,South Sudan,1504224000
400,Nzara,10/1/2017,3,South Sudan,1506816000
401,Nzara,11/1/2017,3,South Sudan,1509494400
402,Nzara,12/1/2017,4,South Sudan,1512086400
403,Nzara,01/1/2018,4,South Sudan,1514764800
404,Nzara,02/1/2018,2,South Sudan,1517443200
405,Nzara,03/1/2018,3,South Sudan,1519862400
406,Nzara,04/1/2018,3,South Sudan,1522540800
407,Nzara,05/1/2018,4,South Sudan,1525132800
408,Nzara,06/1/2018,2,South Sudan,1527811200
409,Nzara,07/1/2018,4,South Sudan,1530403200
410,Nzara,08/1/2018,3,South Sudan,1533081600
411,Nzara,09/1/2018,3,South Sudan,1535760000
412,Nzara,10/1/2018,4,South Sudan,1538352000
413,Nzara,11/1/2018,4,South Sudan,1541030400
414,Nzara,12/1/2018,4,South Sudan,1543622400
415,Nzara,01/1/2019,3,South Sudan,1546300800
416,Nzara,02/1/2019,3,South Sudan,1548979200
417,Nzara,03/1/2019,3,South Sudan,1551398400
418,Nzara,04/1/2019,4,South Sudan,1554076800
419,Nzara,05/1/2019,3,South Sudan,1556668800
420,Nzara,06/1/2019,3,South Sudan,1559347200
421,Nzara,07/1/2019,4,South Sudan,1561939200
422,Nzara,08/1/2019,3,South Sudan,1564617600
423,Nzara,09/1/2019,3,South Sudan,1567296000
424,Nzara,10/1/2019,3,South Sudan,1569888000
425,Nzara,11/1/2019,3,South Sudan,1572566400
426,Nzara,12/1/2019,3,South Sudan,1575158400
427,Nzara,01/1/2020,4,South Sudan,1577836800
428,Nzara,02/1/2020,3,South Sudan,1580515200
429,Kapoeta South,06/1/2017,2,South Sudan,1496275200
430,Kapoeta South,07/1/2017,3,South Sudan,1498867200
431,Kapoeta South,08/1/2017,2,South Sudan,1501545600
432,Kapoeta South,09/1/2017,4,South Sudan,1504224000
433,Kapoeta South,10/1/2017,2,South Sudan,1506816000
434,Kapoeta South,11/1/2017,3,South Sudan,1509494400
435,Kapoeta South,12/1/2017,3,South Sudan,1512086400
436,Kapoeta South,01/1/2018,3,South Sudan,1514764800
437,Kapoeta South,02/1/2018,3,South Sudan,1517443200
438,Kapoeta South,03/1/2018,3,South Sudan,1519862400
439,Kapoeta South,04/1/2018,4,South Sudan,1522540800
440,Kapoeta South,05/1/2018,2,South Sudan,1525132800
441,Kapoeta South,06/1/2018,4,South Sudan,1527811200
442,Kapoeta South,07/1/2018,2,South Sudan,1530403200
443,Kapoeta South,08/1/2018,3,South Sudan,1533081600
444,Kapoeta South,09/1/2018,3,South Sudan,1535760000
445,Kapoeta South,10/1/2018,3,South Sudan,1538352000
446,Kapoeta South,11/1/2018,3,South Sudan,1541030400
447,Kapoeta South,12/1/2018,3,South Sudan,1543622400
448,Kapoeta South,01/1/2019,3,South Sudan,1546300800
449,Kapoeta South,02/1/2019,2,South Sudan,1548979200
450,Kapoeta South,03/1/2019,3,South Sudan,1551398400
451,Kapoeta South,04/1/2019,3,South Sudan,1554076800
452,Kapoeta South,05/1/2019,3,South Sudan,1556668800
453,Kapoeta South,06/1/2019,3,South Sudan,1559347200
454,Kapoeta South,07/1/2019,2,South Sudan,1561939200
455,Kapoeta South,08/1/2019,3,South Sudan,1564617600
456,Kapoeta South,09/1/2019,2,South Sudan,1567296000
457,Kapoeta South,10/1/2019,4,South Sudan,1569888000
458,Kapoeta South,11/1/2019,2,South Sudan,1572566400
459,Kapoeta South,12/1/2019,4,South Sudan,1575158400
460,Kapoeta South,01/1/2020,3,South Sudan,1577836800
461,Kapoeta South,02/1/2020,3,South Sudan,1580515200
462,Budi,06/1/2017,3,South Sudan,1496275200
463,Budi,07/1/2017,3,South Sudan,1498867200
464,Budi,08/1/2017,3,South Sudan,1501545600
465,Budi,09/1/2017,2,South Sudan,1504224000
466,Budi,10/1/2017,2,South Sudan,1506816000
467,Budi,11/1/2017,3,South Sudan,1509494400
468,Budi,12/1/2017,2,South Sudan,1512086400
469,Budi,01/1/2018,4,South Sudan,1514764800
470,Budi,02/1/2018,3,South Sudan,1517443200
471,Budi,03/1/2018,3,South Sudan,1519862400
472,Budi,04/1/2018,4,South Sudan,1522540800
473,Budi,05/1/2018,3,South Sudan,1525132800
474,Budi,06/1/2018,4,South Sudan,1527811200
475,Budi,07/1/2018,3,South Sudan,1530403200
476,Budi,08/1/2018,4,South Sudan,1533081600
477,Budi,09/1/2018,2,South Sudan,1535760000
478,Budi,10/1/2018,3,South Sudan,1538352000
479,Budi,11/1/2018,3,South Sudan,1541030400
480,Budi,12/1/2018,3,South Sudan,1543622400
481,Budi,01/1/2019,3,South Sudan,1546300800
482,Budi,02/1/2019,3,South Sudan,1548979200
483,Budi,03/1/2019,3,South Sudan,1551398400
484,Budi,04/1/2019,3,South Sudan,1554076800
485,Budi,05/1/2019,3,South Sudan,1556668800
486,Budi,06/1/2019,3,South Sudan,1559347200
487,Budi,07/1/2019,4,South Sudan,1561939200
488,Budi,08/1/2019,3,South Sudan,1564617600
489,Budi,09/1/2019,2,South Sudan,1567296000
490,Budi,10/1/2019,4,South Sudan,1569888000
491,Budi,11/1/2019,4,South Sudan,1572566400
492,Budi,12/1/2019,2,South Sudan,1575158400
493,Budi,01/1/2020,2,South Sudan,1577836800
494,Budi,02/1/2020,3,South Sudan,1580515200
495,Torit,06/1/2017,3,South Sudan,1496275200
496,Torit,07/1/2017,2,South Sudan,1498867200
497,Torit,08/1/2017,2,South Sudan,1501545600
498,Torit,09/1/2017,3,South Sudan,1504224000
499,Torit,10/1/2017,3,South Sudan,1506816000
500,Torit,11/1/2017,3,South Sudan,1509494400
501,Torit,12/1/2017,2,South Sudan,1512086400
502,Torit,01/1/2018,2,South Sudan,1514764800
503,Torit,02/1/2018,2,South Sudan,1517443200
504,Torit,03/1/2018,2,South Sudan,1519862400
505,Torit,04/1/2018,4,South Sudan,1522540800
506,Torit,05/1/2018,3,South Sudan,1525132800
